tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
0 days 03:04:00,2020-11-01 10:05:14.802,2020-11-01 10:30:18.893,3187,Warren St,40.7211236,-74.03805095,3187,Warren St,40.7211236,-74.03805095,42546,Subscriber,1991,Female
0 days 08:55:00,2020-11-01 10:05:19.528,2020-11-01 10:14:56.140,3268,Lafayette Park,40.71346382669195,-74.06285852193832,3213,Van Vorst Park,40.71848892,-74.047726625,42352,Subscriber,1986,Female
0 days 19:01:00,2020-11-01 10:05:34.590,2020-11-01 10:53:10.785,3211,Newark Ave,40.72152515,-74.046304543,3268,Lafayette Park,40.71346382669195,-74.06285852193832,44342,Customer,1994,Female
0 days 13:18:00,2020-11-01 10:06:13.300,2020-11-01 10:30:14.160,3187,Warren St,40.7211236,-74.03805095,3187,Warren St,40.7211236,-74.03805095,40867,Customer,1988,Male
0 days 08:10:00,2020-11-01 10:06:34.264,2020-11-01 10:08:56.645,3184,Paulus Hook,40.7141454,-74.0335519,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42130,Subscriber,1989,Female
0 days 20:18:00,2020-11-01 10:07:08.181,2020-11-01 10:20:59.526,3195,Sip Ave,40.73089709786179,-74.06391263008118,3203,Hamilton Park,40.727595966,-74.044247311,44556,Subscriber,1975,Male
0 days 02:22:00,2020-11-01 10:07:17.043,2020-11-01 10:10:56.271,3203,Hamilton Park,40.727595966,-74.044247311,3272,Jersey & 3rd,40.72333158646436,-74.04595255851744,42308,Subscriber,1966,Male
1 days 03:20:00,2020-11-01 10:08:55.461,2020-11-01 10:20:39.392,3679,Bergen Ave,40.722103786686034,-74.07145500183105,3679,Bergen Ave,40.722103786686034,-74.07145500183105,42439,Subscriber,1993,Male
0 days 10:00:00,2020-11-01 10:08:55.944,2020-11-01 10:25:12.363,3678,Fairmount Ave,40.72572613742557,-74.07195925712585,3209,Brunswick St,40.7241765,-74.0506564,47029,Subscriber,1981,Female
1 days 14:47:00,2020-11-01 10:09:57.993,2020-11-01 11:03:51.529,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3202,Newport PATH,40.7272235,-74.0337589,40174,Subscriber,1989,Female
0 days 17:39:00,2020-11-01 10:10:40.412,2020-11-01 10:14:39.514,3678,Fairmount Ave,40.72572613742557,-74.07195925712585,3195,Sip Ave,40.73089709786179,-74.06391263008118,35358,Subscriber,1981,Male
2 days 04:56:00,2020-11-01 10:16:59.511,2020-11-01 10:22:25.479,3213,Van Vorst Park,40.71848892,-74.047726625,3187,Warren St,40.7211236,-74.03805095,42593,Subscriber,1980,Male
2 days 04:57:00,2020-11-01 10:17:13.313,2020-11-01 10:38:26.047,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3199,Newport Pkwy,40.7287448,-74.0321082,44737,Customer,1978,Female
